Date,Open,High,Low,Close,Capital,price_change,volume,capital_change
2014-12-12,350.833008,352.983002,349.290985,352.541992,16989800,0.48712178188204763,48347.0,-47.612954152315815
2014-12-13,352.381012,352.381012,346.588013,347.376007,11675900,-1.4203390164507452,33390.0,-31.277001495014655
2014-12-14,346.72699,353.31601,345.417999,351.631989,12415200,1.4146573937033213,35546.0,6.331845939071077
2014-12-15,351.360992,351.815002,344.93399,345.345001,17264200,-1.7121966117399807,49558.0,39.05696243314647
2014-12-16,345.673004,345.859009,327.062012,327.062012,30864900,-5.383987694914125,91747.0,78.77978707382908
2014-12-17,326.855011,333.95401,315.152008,319.776001,37567900,-2.165795157413078,115974.0,21.717225715942707
2014-12-18,319.785004,323.709015,304.231995,311.395996,39173000,-2.6233275153828006,124445.0,4.272530538039124
2014-12-19,311.178986,318.53299,306.769012,317.842987,23823100,2.141533104680785,75971.0,-39.18489776121308
2014-12-20,317.618988,330.325012,316.044006,329.955994,20856700,3.884215511699815,64475.0,-12.451779995046824
2014-12-21,329.542999,329.628998,318.903015,320.842987,15207600,-2.6400233130123376,46832.0,-27.085301126256788
2014-12-22,321.067993,334.117004,320.424988,331.885986,22315100,3.3693775885035047,68268.0,46.73650017096715
2014-12-23,332.016998,336.286987,329.60199,334.571991,16574200,0.7695368054619977,49755.0,-25.726525984647168
2014-12-24,334.38501,334.740997,321.356995,322.533997,15092300,-3.544122088487167,45977.0,-8.941004694042547
2014-12-25,322.286011,322.670013,316.958008,319.007996,9883640,-1.0171136469215172,30864.0,-34.512035938856236
2014-12-26,319.152008,331.424011,316.627014,327.924011,16410500,2.748534485172339,50684.0,66.03700660890117
2014-12-27,327.583008,328.911011,312.630005,315.863007,15185200,-3.5777194524082354,47270.0,-7.466561043234514
2014-12-28,316.160004,320.028015,311.078003,317.239014,11676600,0.34128605337441176,36937.0,-23.1053920923004
2014-12-29,317.700989,320.266998,312.307007,312.670013,12302500,-1.5835569211904499,38964.0,5.36029323604474
2014-12-30,312.718994,314.80899,309.372986,310.737,12528300,-0.6337939293831273,40166.0,1.8353993090835197
2014-12-31,310.914001,320.192993,310.210999,320.192993,13942900,2.9844239790282128,44210.0,11.291236640246483
2015-01-01,320.434998,320.434998,314.002991,314.248993,8036550,-1.930502298004297,25329.0,-42.360986595328086
2015-01-02,314.07901,315.838989,313.565002,315.032013,7860650,0.30342779035123163,24984.0,-2.1887501477624105
2015-01-03,314.846008,315.149994,281.082001,281.082001,33054400,-10.723974940790736,110906.0,320.5046656446986
2015-01-04,281.145996,287.230011,257.612,264.195007,55629100,-6.029247878742704,204109.0,68.2955975603853
2015-01-05,265.084015,278.341003,265.084015,274.473999,43962800,3.5422671563202215,162377.0,-20.9715778252749
2015-01-06,274.610992,287.553009,272.696014,286.188995,23245700,4.216146963265027,82943.0,-47.12415951668228
2015-01-07,286.076996,298.753998,283.07901,294.337006,24866800,2.8873380647495215,85582.0,6.973762889480635
2015-01-08,294.13501,294.13501,282.174988,283.348999,19982500,-3.6670272607127012,69276.0,-19.6418517863175
2015-01-09,282.382996,291.114014,280.53299,290.40799,18718600,2.841882873145801,65425.0,-6.325034405104467
2015-01-10,287.303009,288.127014,273.966003,274.79599,15264300,-4.353250264775318,54312.0,-18.4538373596316
2015-01-11,274.608002,279.638,265.039001,265.660004,18200800,-3.2584622206311322,67103.0,19.2376984204975
